step,t_years,mean,std
809,0.809,1706.25,461.466
810,0.81,1706.61,461.86
811,0.811,1706.99,462.26
812,0.812,1707.35,462.661
813,0.813,1707.72,463.052
814,0.814,1708.08,463.441
815,0.815,1708.45,463.833
816,0.816,1708.81,464.22
817,0.817,1709.18,464.618
818,0.818,1709.55,465.022
819,0.819,1709.92,465.416
820,0.82,1710.29,465.817
821,0.821,1710.66,466.213
822,0.822,1711.02,466.602
823,0.823,1711.38,466.993
824,0.824,1711.75,467.38
825,0.825,1712.11,467.778
826,0.826,1712.48,468.163
827,0.827,1712.85,468.564
828,0.828,1713.22,468.963
829,0.829,1713.58,469.348
830,0.83,1713.95,469.738
831,0.831,1714.32,470.125
832,0.832,1714.68,470.519
833,0.833,1715.05,470.914
834,0.834,1715.42,471.301
835,0.835,1715.79,471.698
836,0.836,1716.17,472.097
837,0.837,1716.53,472.484
838,0.838,1716.91,472.883
839,0.839,1717.27,473.279
840,0.84,1717.64,473.679
841,0.841,1718.01,474.079
842,0.842,1718.38,474.46
843,0.843,1718.75,474.855
844,0.844,1719.11,475.245
845,0.845,1719.49,475.632
846,0.846,1719.86,476.024
847,0.847,1720.23,476.413
848,0.848,1720.59,476.791
849,0.849,1720.96,477.182
850,0.85,1721.32,477.573
851,0.851,1721.7,477.965
852,0.852,1722.06,478.358
853,0.853,1722.44,478.76
854,0.854,1722.8,479.149
855,0.855,1723.17,479.541
856,0.856,1723.54,479.935
857,0.857,1723.9,480.33
858,0.858,1724.27,480.724
859,0.859,1724.65,481.136
860,0.86,1725.03,481.541
861,0.861,1725.4,481.941
862,0.862,1725.77,482.344
863,0.863,1726.15,482.746
864,0.864,1726.51,483.134
865,0.865,1726.88,483.519
866,0.866,1727.25,483.921
867,0.867,1727.62,484.308
868,0.868,1727.99,484.712
869,0.869,1728.37,485.102
870,0.87,1728.73,485.488
871,0.871,1729.1,485.887
872,0.872,1729.46,486.274
873,0.873,1729.83,486.657
874,0.874,1730.2,487.048
875,0.875,1730.58,487.451
876,0.876,1730.96,487.845
877,0.877,1731.33,488.238
878,0.878,1731.7,488.63
879,0.879,1732.08,489.018
880,0.88,1732.45,489.41
881,0.881,1732.82,489.803
882,0.882,1733.19,490.201
883,0.883,1733.57,490.598
884,0.884,1733.94,490.985
885,0.885,1734.31,491.374
886,0.886,1734.68,491.776
887,0.887,1735.05,492.169
888,0.888,1735.42,492.572
889,0.889,1735.8,492.977
890,0.89,1736.17,493.367
891,0.891,1736.54,493.761
892,0.892,1736.9,494.15
893,0.893,1737.28,494.537
894,0.894,1737.65,494.943
895,0.895,1738.02,495.327
896,0.896,1738.39,495.728
897,0.897,1738.77,496.116
898,0.898,1739.15,496.517
899,0.899,1739.53,496.909
900,0.9,1739.9,497.298
901,0.901,1740.28,497.695
902,0.902,1740.65,498.097
903,0.903,1741.02,498.487
904,0.904,1741.39,498.866
905,0.905,1741.76,499.254
906,0.906,1742.13,499.636
907,0.907,1742.5,500.035
908,0.908,1742.88,500.428
909,0.909,1743.25,500.815
910,0.91,1743.62,501.212
911,0.911,1743.99,501.615
912,0.912,1744.36,502.012
913,0.913,1744.73,502.406
914,0.914,1745.1,502.8
915,0.915,1745.48,503.194
916,0.916,1745.85,503.582
917,0.917,1746.23,503.969
918,0.918,1746.61,504.357
919,0.919,1746.98,504.746
920,0.92,1747.35,505.139
921,0.921,1747.73,505.542
922,0.922,1748.11,505.941
923,0.923,1748.48,506.338
924,0.924,1748.85,506.729
925,0.925,1749.22,507.117
926,0.926,1749.59,507.503
927,0.927,1749.97,507.884
